item_id,title,genres,num_ratings,avg_rating
3488,"Hideous Sun Demon, The (1959)",Horror|Sci-Fi,7,1.1428571428571428
2452,"Gate II: Trespassers, The (1990)",Horror,6,1.1666666666666667
2655,Howling II: Your Sister Is a Werewolf (1985),Horror,9,1.2222222222222223
1324,Amityville: Dollhouse (1996),Horror,7,1.2857142857142858
3042,Meatballs III (1987),Comedy,17,1.2941176470588236
1826,Barney's Great Adventure (1998),Adventure|Children's,15,1.3333333333333333
1495,Turbo: A Power Rangers Movie (1997),Action|Adventure|Children's,11,1.3636363636363635
2449,"Garbage Pail Kids Movie, The (1987)",Adventure|Children's,8,1.375
3945,Digimon: The Movie (2000),Adventure|Animation|Children's,13,1.3846153846153846
3820,Thomas and the Magic Railroad (2000),Children's,5,1.4
1599,Steel (1997),Action,17,1.411764705882353
1739,3 Ninjas: High Noon On Mega Mountain (1998),Action|Children's,16,1.4375
2799,Problem Child 2 (1991),Comedy,24,1.4583333333333333
255,"Jerky Boys, The (1994)",Comedy,17,1.4705882352941178
3939,"Slumber Party Massacre II, The (1987)",Horror,6,1.5
3434,Death Wish V: The Face of Death (1994),Action|Drama,8,1.5
1323,Amityville 3-D (1983),Horror,12,1.5
1325,Amityville: A New Generation (1993),Horror,8,1.5
3043,Meatballs 4 (1992),Comedy,12,1.5
3694,"Toxic Avenger, Part II, The (1989)",Comedy|Horror,18,1.5
2537,Beyond the Poseidon Adventure (1979),Adventure,8,1.5
1996,Poltergeist III (1988),Horror|Thriller,30,1.5333333333333334
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,22,1.5454545454545454
3041,Meatballs Part II (1984),Comedy,18,1.5555555555555556
810,Kazaam (1996),Children's|Comedy|Fantasy,25,1.56
3390,Shanghai Surprise (1986),Adventure,7,1.5714285714285714
2878,Hell Night (1981),Horror,7,1.5714285714285714
201,Three Wishes (1995),Drama,7,1.5714285714285714
1998,Exorcist II: The Heretic (1977),Horror,32,1.59375
1490,B*A*P*S (1997),Comedy,10,1.6
1692,Alien Escape (1995),Horror|Sci-Fi,5,1.6
228,Destiny Turns on the Radio (1995),Comedy,5,1.6
3573,Carnosaur 2 (1995),Horror|Sci-Fi,10,1.6
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,28,1.6071428571428572
2368,King Kong Lives (1986),Action|Adventure|Horror,13,1.6153846153846154
1105,Children of the Corn IV: The Gathering (1996),Horror,13,1.6153846153846154
3799,Pokémon the Movie 2000 (2000),Animation|Children's,29,1.6206896551724137
2383,Police Academy 6: City Under Siege (1989),Comedy,32,1.625
1731,Mr. Magoo (1997),Comedy,17,1.6470588235294117
2516,Children of the Corn III (1994),Horror,12,1.6666666666666667
1822,Meet the Deedles (1998),Children's|Comedy,6,1.6666666666666667
3593,Battlefield Earth (2000),Action|Sci-Fi,80,1.6875
3884,"Crew, The (2000)",Comedy,10,1.7
1525,Warriors of Virtue (1997),Action|Adventure|Children's|Fantasy,10,1.7
2462,"Return of the Texas Chainsaw Massacre, The (1994)",Horror,17,1.7058823529411764
3689,Porky's II: The Next Day (1983),Comedy,35,1.7142857142857142
3663,Puppet Master 4 (1993),Horror|Sci-Fi|Thriller,18,1.7222222222222223
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,24,1.75
1707,Home Alone 3 (1997),Children's|Comedy,34,1.7647058823529411
3665,Curse of the Puppet Master (1998),Horror|Sci-Fi|Thriller,9,1.7777777777777777
