item_id,title,genres,num_ratings,avg_rating
3222,Carmen (1984),Drama,8,4.375
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,256,4.375
3470,Dersu Uzala (1974),Adventure|Drama,24,4.375
1223,"Grand Day Out, A (1992)",Animation|Comedy,117,4.3760683760683765
3091,Kagemusha (1980),Drama|War,37,4.378378378378378
3789,"Pawnbroker, The (1965)",Drama,37,4.378378378378378
923,Citizen Kane (1941),Drama,279,4.379928315412187
1193,One Flew Over the Cuckoo's Nest (1975),Drama,438,4.3881278538812785
912,Casablanca (1942),Drama|Romance|War,405,4.397530864197531
668,Pather Panchali (1955),Drama,10,4.4
3569,"Idiots, The (Idioterne) (1998)",Comedy|Drama,5,4.4
2594,Open Your Eyes (Abre los ojos) (1997),Drama|Romance|Sci-Fi,10,4.4
1571,When the Cats Away (Chacun cherche son chat) (1996),Comedy|Romance,15,4.4
720,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,94,4.404255319148936
1260,M (1931),Crime|Film-Noir|Thriller,73,4.410958904109589
1233,"Boat, The (Das Boot) (1981)",Action|Drama|War,254,4.413385826771654
1212,"Third Man, The (1949)",Mystery|Thriller,130,4.415384615384616
2762,"Sixth Sense, The (1999)",Thriller,613,4.419249592169657
1207,To Kill a Mockingbird (1962),Drama,221,4.420814479638009
1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Thriller,59,4.423728813559322
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,323,4.43343653250774
1250,"Bridge on the River Kwai, The (1957)",Drama|War,216,4.435185185185185
3416,"Trial, The (Le Procès) (1963)",Drama,16,4.4375
3307,City Lights (1931),Comedy|Drama|Romance,57,4.43859649122807
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,117,4.444444444444445
745,"Close Shave, A (1995)",Animation|Comedy|Thriller,198,4.44949494949495
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,782,4.459079283887468
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,154,4.461038961038961
904,Rear Window (1954),Mystery|Thriller,274,4.463503649635037
3030,Yojimbo (1961),Comedy|Drama|Western,62,4.467741935483871
670,"World of Apu, The (Apur Sansar) (1959)",Drama,17,4.470588235294118
3435,Double Indemnity (1944),Crime|Film-Noir,131,4.473282442748092
1148,"Wrong Trousers, The (1993)",Animation|Comedy,210,4.480952380952381
1204,Lawrence of Arabia (1962),Adventure|War,185,4.481081081081081
527,Schindler's List (1993),Drama|War,567,4.488536155202822
1198,Raiders of the Lost Ark (1981),Action|Adventure,596,4.489932885906041
3089,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama,65,4.492307692307692
1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Drama,16,4.5
3816,"Official Story, The (La Historia Oficial) (1985)",Drama,8,4.5
602,"Great Day in Harlem, A (1994)",Documentary,6,4.5
3134,"Grand Illusion (Grande illusion, La) (1937)",Drama|War,41,4.512195121951219
2360,"Celebration, The (Festen) (1998)",Drama,29,4.517241379310345
858,"Godfather, The (1972)",Action|Crime|Drama,570,4.528070175438597
50,"Usual Suspects, The (1995)",Crime|Thriller,425,4.538823529411765
1178,Paths of Glory (1957),Drama|War,72,4.541666666666667
318,"Shawshank Redemption, The (1994)",Drama,522,4.593869731800766
2905,Sanjuro (1962),Action|Adventure,15,4.6
326,To Live (Huozhe) (1994),Drama,13,4.6923076923076925
3338,For All Mankind (1989),Documentary,5,4.8
669,Aparajito (1956),Drama,7,4.857142857142857
