item_id,title,genres,num_ratings,avg_rating
1331,Audrey Rose (1977),Horror,7.0,1.0
3643,"Fighting Seabees, The (1944)",Action|Drama|War,17.0,1.0588235294117647
3096,My Man Godfrey (1957),Comedy,7.0,1.1428571428571428
3235,Where the Buffalo Roam (1980),Comedy,6.0,1.1666666666666667
1777,"Wedding Singer, The (1998)",Comedy|Romance,7.0,1.2857142857142858
1532,Sprung (1997),Comedy,44.0,1.3181818181818181
1799,Suicide Kings (1997),Crime|Drama,47.0,1.3617021276595744
1344,Cape Fear (1962),Film-Noir|Thriller,43.0,1.372093023255814
3642,In Old California (1942),Western,26.0,1.4615384615384615
2058,"Negotiator, The (1998)",Action|Thriller,15.0,1.4666666666666666
